,0,1,2,3,4,5
3435,,,,,StudentDiscipline_L,
3436,SchoolYear BIP Y/NIncidentDate,,Disposition,DispositionDuration,StudentDiscipline_DispositionDurationUnit,StudentDiscipline_Description
3437,,,,,,"XX got frustrated when staff tried to teach him to tie laces on a board.  He climbed desk, tube and swore at staff."
3438,,,,,,Staff called for back up and staff was able to get him off desk safely but he was still escalated; swearing and
3439,,,,,,swinging at staff.  He started throwing things when staff prompted him to stop and use his words to express his
3440,,,Standing,,,feelings rather than aggression.  XX swung at staff and was told his hands would be held if he didn't stop his
3441,2019-2020 N,1/21/2020,Hold,4 Minutes,Therapy Room,behavior.  staff held his arms while standing for approx 4 minutes.  He was calming down and directed to sit and
3442,,,,,,While during science XXXX became frustrated with the experiment of trying to find a way to drop an egg and not
3443,,,,,,"have it break. He tipped his desk and his chair, which staff asked if he needed a break. He took the break talked to"
3444,,,Small child,,,"staff and came back into the room. While trying to pick up papers fell off his desk, he then tipped his desk again"
3445,,,restraint 1,,,and attempted to tip a peer's desk. He then went and tried to hit staff and even followed staff out of the room
3446,2019-2020 Y,9/6/2019,person hold,6 Minutes,Classroom,while slapping the staff's back. While in the hallway continued to hit staff and was placed into a 1 person small
3447,,,Small child,,,XXXX was having difficulty controlling his frustrations in a safe manner. He became physically aggressive towards
3448,,,restraint 1,,,"any adults near him. When adults attempted to move away, he would target them and go after the adults"
3449,2019-2020 Y,9/25/2019,person hold,7 Minutes,Calm Room,aggressively. At this time Staff utilized a TCI single person small child hold which lasted for seven minutes before
3450,,,Small child,,,
3451,,,restraint 2,,,XXXX tipped over two desks in the classroom.  He put hands on staff.  He was put into a 2 person small child hold
3452,2019-2020 Y,9/30/2019,person hold,15 Minutes,Classroom,for 15 minutes.
3453,,,,,,During ELA after the read aloud book was finished being read. XXXX became upset due to the work and was
3454,,,Small child,,,refusing to do it. He tipped his desk and his chair. When the room was cleared he tried to hit staff as they left and
3455,,,restraint 1,,,continued going after staff that stayed in the room. He was placed in a 1 person small child hold at 10:45 to 10:58.
3456,2019-2020 Y,10/2/2019,person hold,13 Minutes,Classroom,He was still not settling down and went to the calm room and was in there from 10:59 to 11:09. He was able to
3457,,,,,,Became frustrated during class and refused to following directions and do the work. Staff said that was fine and he
3458,,,Small child,,,"then started to throw books tip a small shelving unit, and hitting staff. He also ripped a book apart as well. He was"
3459,,,restraint 1,,,placed in 1 person small child hold at 10:00 and was in it for 9 minutes. He said he was calm and his body was calm.
3460,2019-2020 Y,10/17/2019,person hold,9 Minutes,Classroom,He walked out of the room and then started trying to hit staff again and walked down to the support area trying to
3461,,,Small child,,,XXXX stated he didn't want to do the math and then got mad when staff didn't give him the math. He threw a chair
3462,,,restraint 1,,,and started throwing some work on the floor. He was placed in a small child hold at 10:50 and was released 11:06.
3463,2019-2020 Y,10/17/2019,person hold,16 Minutes,Classroom,he was released from the hold and walked down to the support area he tried to hit staff and went into the calm
3464,,,,,,"While in art class, XXXX began to have trouble following adult directives and expectations. When adults attempted"
3465,,,Small child,,,to give him verbal support he began  to threw scissors at the adults and became physically aggressive toward two
3466,,,restraint 1,,,peers. At this time Staff utilized a TCI single person small child hold. He was compliant with the letting go process
3467,2019-2020 N,1/14/2020,person hold,3 Minutes,Other,and transitioned to the support area where he was able to work independently on a calming activity. Afterwards he
3468,,,,,StudentDiscipline_L,
3469,SchoolYear BIP Y/NIncidentDate,,Disposition,DispositionDuration,StudentDiscipline_DispositionDurationUnit,StudentDiscipline_Description
3470,,,Small child,,,"XXXX became escalated in the classroom, began tipping desks and chairs, throwing pencils and other classroom"
3471,,,restraint 2,,,objects at students. Postured at students and punch two staff members. Due to the level of unsafe behaviors a TCIS
3472,2019-2020 N,11/5/2019,person hold,14 Minutes,Classroom,"2 Person small child restraint was used, he was in the hold for 14 minutes, was able to settle, clean up and re-"
3473,,,,,,"XXXX was angry because he could not use the I-Pad for free time due to struggles with transitioning off , resulting in"
3474,,,Small child,,,"hitting and banging I-Pad against desk, throwing it, flipping tables and chairs.  Because he was angry, XXXX flipped"
3475,,,restraint 1,,,"desk and chairs, then escalated to kicking, punching and spitting on staff.  Validating his feelings, space, reminders"
3476,2019-2020 N,11/12/2019,person hold,7.5 Minutes,Classroom,"to use strategies, and phone call with parent was tried unsuccessfully.  XXXX had to be place in a small child"
3477,,,,,,XXXX was having a difficult time handling expectations from the classroom teacher. He began to use vulgar
3478,,,Small child,,,"language toward the adults and other students, became physically aggressive toward adults and peers, and broke"
3479,,,restraint 1,,,"desks and several items within the classroom. XXXX was verbally redirected to the support area, but once inside"
3480,2019-2020 N,12/9/2019,person hold,4 Minutes,Classroom,XXXX became physically aggressive toward the adults. Staff utilized a TCI single person small child hold which lasted
3481,,,Small child,,,
3482,,,restraint 1,,,"During Social Studies, XXXX got frustrated during a lesson and then went into the hallway. Then he started to kick,"
3483,2019-2020 Y,2/11/2020,person hold,5 Minutes,Classroom,hit staff and ripping his pants. As a result staff put him in a hold for 5mins.
3484,,,,,,Leading up to writers workshop XXXX heard that his mother had called and shortly after became argumentative
3485,,,,,,with staff. He continued to argue even when staff attempted to stop and became disruptive to the class and
3486,,,,,,angering another student who then tried to get to XXXX. When XXXX was taken out of the room he became more
3487,,,Small child,,,aggressive trying to get back in. While yelling at adults and adults tried to walk him to the support area he
3488,,,restraint 1,,,collapsed on the floor. Staff took a step back and XXXX got up and tried to run out of program. Staff stopped him
3489,2019-2020 N,3/6/2020,person hold,13 Minutes,Classroom,and he turned started fighting the staff. Staff placed XXXX in a small child hold. When another staff member come
3490,,,,,,XXX became upset with directions during a spelling quiz and became disruptive to peers. After several warnings to
3491,,,,,,"stop behavior, teacher told XXX to finish his quiz in the hall. XXX refused to move at first, but stood up angrily a"
3492,,,,,,"moment later and walked out the door with his quiz. Once in the hall, XXX ran into the bathroom and tried flushing"
3493,,,,,,his quiz. Staff told him that this was not a good choice and that he needed to calm down. Staff gave him the option
3494,,,,,,"of staying where he was, sitting in the hall, or going to support area. XXX chose the support area and began walking"
3495,,,Small child,,,"down. However, once in the space, XXX decided that he wanted to go back to class. When told this was not a"
3496,,,restraint 1,,,"choice, XXX became aggressive. XXX yelled, punched, and pushed  staff to try to get back to classroom. During this"
3497,2019-2020 N,10/10/2019,person hold,6 Minutes,Classroom,"time, staff put XXX in a small child hold for safety. The hold lasted 3 minutes. Staff tried to give him the opportunity"
3498,,,Small child,,,XXX was having difficulty following expectations. He began to make inappropriate comments towards the adults
3499,,,restraint 1,,,when he was redirected. He was physically aggressive toward adults after knocking a desk over. Staff intervened by
3500,2019-2020 N,11/14/2019,person hold,5 Minutes,Calm Room,"using a TCI single person small child hold, which lasted five minutes before he was compliant with the letting go"
3501,,,,,StudentDiscipline_L,
3502,SchoolYear BIP Y/NIncidentDate,,Disposition,DispositionDuration,StudentDiscipline_DispositionDurationUnit,StudentDiscipline_Description
3503,,,,,,"XXX tried re-entering classroom after coming back from support area, but was unable to re-enter the classroom"
3504,,,Small child,,,"safely and returned to support area. XXX became escalated again. He tipped a desk, climbed on furniture and"
3505,,,restraint 1,,,"became physical with staff in an attempt to get out of the room. At this time, XXX was put in a one person small"
3506,2019-2020 N,11/19/2019,person hold,7 Minutes,Classroom,child restraint for safety. The hold lasted 7 minutes. XXX cooled down with an ice pop and was checked out by
3507,,,Small child,,,"Went to support area after being unsafe in the classroom. In support area, XXX began threatening to kill himself by"
3508,,,restraint 1,,,jumping off a desk onto the concrete floor. Staff put XXX in a one person small child restraint for his safety at this
3509,2019-2020 N,11/20/2019,person hold,10 Minutes,Classroom,time. Call home was made and nurse checked XXX for any possible injuries. Nurse did not note any medical
3510,,,Small child,,,XXX was having a difficult time maintaining appropriate behaviors while he was in the support area. He was very
3511,,,restraint 1,,,"disruptive, screaming vulgar words at adults, and became physically aggressive toward adults as well. At this time"
3512,2019-2020 N,12/3/2019,person hold,2 Minutes,Calm Room,XXX was placed in a TCI single person small child hold which lasted two minutes before he was compliant with the
3513,,,Small child,,,XXX began to have difficulty following directives shortly after being in a therapeutic hold. He began to make verbal
3514,,,restraint 1,,,"threats toward the adults and attempted to run out of the school. Staff utilized a TCI single person small child hold,"
3515,2019-2020 N,12/3/2019,person hold,4 Minutes,Calm Room,which lasted four minutes before XXX was compliant with the letting go process and LSI. XXX was able to transition
3516,,,,,,"During centers, XXX refused to follow directions and became disruptive to others around him. He started to target"
3517,,,,,,"a peer that had made a comment to him and was asked to leave the room. XXX left the room, but then tried"
3518,,,Small child,,,pushing past staff to get back into the room. He swore and continued to escalate. He screamed and threatened to
3519,,,restraint 2,,,"run from staff. After given the opportunity to sit calmly or  take a break in support area, XXX escalated and began"
3520,2019-2020 N,12/5/2019,person hold,5 Minutes,Classroom,"to target staff, hitting and kicking. At this time, staff put XXX in a 2 person small child restraint for safety. Hold"
3521,,,Small child,,,XXX was having a difficult time following expectations given from the adults. He made verbally aggressive threats
3522,,,restraint 1,,,of killing the adults. He was vulgar and physically aggressive toward adults as they attempted to offer XXX verbal
3523,2019-2020 N,12/11/2019,person hold,8 Minutes,Calm Room,support. Due to the aggression toward staff XXX was placed in a TCI single person small child hold which lasted
3524,,,Small child,,,XXX became disrespectful toward adults while they were going through the life space interview with him. XXX
3525,,,restraint 1,,,became verbally and physically aggressive toward adults. At this point staff utilized a TCI single person small child
3526,2019-2020 N,12/11/2019,person hold,6 Minutes,Calm Room,hold which lasted six minutes before he was compliant with the letting go process and LSI.
3527,,,Small child,,,"Student was asked to the support area due to behaviors in the classroom, running out and with scissors in his hand."
3528,,,restraint 2,,,"He was asked to the support area but when there he could not be safe. Hitting and kicking staff, trying to bite and"
3529,2019-2020 N,12/18/2019,person hold,4 Minutes,Other,threatening to hurt himself. He was placed in a small child hold for his safety as well as staffs. he was released
3530,,,Small child,,,Student was asked to leave room due to rude and unsafe behavior. While outside of room he continued said
3531,,,restraint 2,,,behavior. Was asked to support area and began to punch and bite staff. He was placed in a small child 2 person
3532,2019-2020 N,1/10/2020,person hold,3 Minutes,Other,hold for safety. He became very upset and began to vomit. He was immediately released from the hold and given a
3533,,,,,StudentDiscipline_L,
3534,SchoolYear BIP Y/NIncidentDate,,Disposition,DispositionDuration,StudentDiscipline_DispositionDurationUnit,StudentDiscipline_Description
3535,,,,,,XXX was having a difficult time following expectations given by the teacher. He began to use profanity towards
3536,,,Small child,,,adults and was very disruptive to his classroom. XXX was verbally directed to the support area with staffs use of
3537,,,restraint 1,,,physical proximity. Once in the support area XXX made verbal threats towards the adults and attempted to become
3538,2019-2020 N,1/17/2020,person hold,3 Minutes,Calm Room,physically aggressive. At this time staff utilized a TCI single person small child hold which lasted three minutes
3539,,,,,,XXX was verbally redirected to the support area where he could utilize adult support as a means of regulation to
3540,,,,,,"help him return to his baseline behavior from an escalated state. Once in the support area, XXX began damaging"
3541,,,Small child,,,school proper and became physically aggressive when adults attempted to redirect him. At this time staff utilized a
3542,,,restraint 1,,,TCI single person small child hold which lasted for five minutes before XXX was compliant with the letting go
3543,2019-2020 N,1/30/2020,person hold,5 Minutes,Calm Room,"process and LSI. While conducting the LSI with XXX, he became frustrated and stated tha he was going to purposely"
3544,,,,,,XXXX was enXXXXd in a card game with the classroom teacher within the class. He became reactively upset and
3545,,,,,,"agitated when the teacher made a move (within the card game) he did not like. XXXX became disruptive, knocked"
3546,,,Small child,,,"over desks and chairs and proceeded to run out of the classroom, down the hall and attempted to run out of the"
3547,,,restraint 1,,,school until an adult was able to utilize physical proximity and verbal redirection to direct him to the support area.
3548,2019-2020 Y,8/7/2019,person hold,11 Minutes,Classroom,Once in the support area XXXX became physically aggressive towards adults in the room. At this time adults utilized
3549,,,Small child,,,XXXX did not want to do morning work. He left the room with out permission was swearing yelling and hitting
3550,,,restraint 1,,,head. When hitting head and kicking staff a small child hold for 3 min was needed. This kept cycling threw out the
3551,2019-2020 Y,1/17/2020,person hold,3 Minutes,Classroom,"entire half day he could not come back to base line. He was able to get on the bus at 11.00 to go home, Mom was"
3552,,,,,,XXXX had been disruptive and rude during library and tech class. He ran back to class demanding a chocolate milk
3553,,,,,,and was told no. He then attempted to get one on his own but fridge was blocked. He and another student then
3554,,,,,,"ran around the building, eventually ending up outside of support room. Other student went to OT room and"
3555,,,,,,appropriately asked for a break to play with the ball and hoop. XXXX had followed and began mocking the student
3556,,,,,,and threw basketballs at the hoop. He was told to leave. He grabbed a basketball and ran into the classroom. He
3557,,,,,,then tried to leave the room again to get at other student and door was blocked. XXXX said I had a choice to let him
3558,,,Small child,,,go with her or be hit in the face with the basketball. He kept shoving the ball in my face and laughing because I was
3559,,,restraint 1,,,moving out of the way of the ball. I finally grabbed the ball and XXXX swung and hit me with force on the right
3560,2019-2020 N,11/20/2019,person hold,5 Minutes,Classroom,"side/back of my head. Room was cleared and 3 staff took over.  In the classroom, XXXX was knocking over tables"
3561,,,Small child,,,XXXX became frustrated with limitations set within his classroom. He ran out of the classroom and walked around
3562,,,restraint 1,,,the school. He began to use school items inappropriately and without permission. when adults redirected him
3563,2019-2020 N,11/26/2019,person hold,12 Minutes,Calm Room,XXXX became physically aggressive toward adults. XXXX threw chairs and knocked over tables. Staff utilized a TCI
3564,,,,,,the student stole food from a peer. He was redirected to take a break because he got very upset when he got
3565,,,,,,caught. The student got up to go take a break and walked to the front of the classroom. He then decided he did not
3566,,,Standing,,,want to take a break and asked for an iPad. We said that was not a choice and attempted to redirect using a
3567,2019-2020 Y,10/17/2019,Hold,5 Minutes,Classroom,whiteboard. Student became upset and began attempting to grab staff members. Students were cleared from the
3568,,,,,StudentDiscipline_L,
3569,SchoolYear BIP Y/NIncidentDate,,Disposition,DispositionDuration,StudentDiscipline_DispositionDurationUnit,StudentDiscipline_Description
3570,,,,,,the student stole food from a peer. He was redirected to take a break because he got very upset when he got
3571,,,,,,caught. The student got up to go take a break and walked to the front of the classroom. He then decided he did not
3572,,,,,,want to take a break and asked for an iPad. We said that was not a choice and attempted to redirect using a
3573,2019-2020 Y,,10/17/2019 Supine Hold,7 Minutes,Classroom,whiteboard. Student became upset and began attempting to grab staff members. Students were cleared from the
3574,,,,,,Spilled some water and paint and was refusing to clean up. Began arguing with staff about cleaning it and even
3575,,,Small child,,,threatened to strip because he refused to ask to leave the room. When he did ask he was disrespectful and when
3576,,,restraint 1,,,staff tried to say something he attempted to strip. He went down to the Support Area and attempted again and
3577,2019-2020 Y,10/21/2019,person hold,6 Minutes,Classroom,refused to listen to staff. He then threw both shoes at staff and was placed in a hold from 1:45-1:51. He settled
3578,,,Small child,,,
3579,,,restraint 1,,,Mom had left and XXXX became angeried and tried to leave the room. When staff stopped him he began kicking
3580,2019-2020 N,10/9/2019,person hold,4 Minutes,Classroom,staff. He did this for about 10 to 12 minutes and was then placed in a hold by staff for 4 mins.
3581,,,Small child,,,
3582,,,restraint 2,,,XXXX was disruptive in the classroom.  She was refusing to follow directions and do her work.  She then began to
3583,2019-2020 Y,9/23/2019,person hold,6 Minutes,Classroom,throw items in the classroom and was being unsafe.
3584,,,Small child,,,Refused to do work and walked out of class and refused to listen and continued to wonder the halls. When staff
3585,,,restraint 1,,,attempted to help get her back to the hallway she started to scratch and hit staff and even cut one staff's hand. She
3586,2019-2020 Y,10/8/2019,person hold,2 Minutes,Hallway,was placed in a small child hold for 2 minutes until extra staff came to assist and walk her down to the support
3587,,,,,StudentDiscipline_L,
3588,SchoolYear BIP Y/NIncidentDate,,Disposition,DispositionDuration,StudentDiscipline_DispositionDurationUnit,StudentDiscipline_Description
3589,,,,,,XXXX and another student were being disruptive during a school assembly on the Greece side of the building. Both
3590,,,,,,"students were insubordinate when they were asked to stay in the assembly. Both students left, staff intervened,"
3591,,,,,,Students cursed as they were walking. When they were given directives their responses were â€œI do not give a
3592,,,,,,fuckâ€ . XXXX and the other student came into homeroom. The other student was asked to leave due to the student
3593,,,,,,not following program expectations. XXXX went out into the hallway with the other student. Staff supported
3594,,,,,,students and gave them choices to be successful. XXXX behaviors were escalating and she was baiting staff
3595,,,,,,members into power struggles. XXXX was in violation of the school cellphone policy. The admin did come down and
3596,,,,,,spoke to XXXX and reminded her of the school expectations. XXXX chose to leave the building with the other
3597,,,,,,student. Support staff followed students to ensure their safety. XXXX was given many options to reenter the
3598,,,,,,"building safely, however her behaviors only escalated. She proceeded to try opening all the school doors. Yanking"
3599,,,,,,"and pounding on the doors with both her hands and feet. XXXX made it down to the Greece side, a Greece student"
3600,,,,,,let her into their building. She ran through the hallways back to the Ridgecrest side. Where she proceeded to pull
3601,,,,,,"and pound on the doors. She was threatening staff to let her back into the building. She stated to staff, they cannot"
3602,,,,,,treat her like an animal. â€œHer father would come to the school and kick their assesâ€ . XXXX and the other
3603,,,,,,"student were trying to make ultimatums with staff they were ""both coming in together or not at allâ€ .   XXXX tried"
3604,,,,,,using her cell phone to call her dad and was not successful. She tried using the other studentsâ€™ phone and still
3605,,,,,,was not successful. XXXX tried to get the other student to call their parents/people they knew. XXXX was calling to
3606,2019-2020 N,,7/31/2019 Supine Hold,8 Minutes,Outside,the Greece students walking by. XXXX tried to rip down a sharp piece of the school fence. She was looking for a
3607,,,,,,"XXXX became angry when we transitioned to science. He screamed ""no"" and began to throw things off peers desks."
3608,,,,,,"He ran around the room, picking up items and throwing them at peers and adults. He threw a can of playdoh at an"
3609,,,Small child,,,"adults face, and a container at a peers head  (it was deflected). When XXXX attempted to kick adults- he was asked"
3610,,,restraint 1,,,to leave the room. He ran to the Music Therapy room after attempting to leave program area. Once in the Music
3611,2019-2020 Y,10/17/2019,person hold,11 Minutes,Classroom,"Therapy room, he threw chairs at the adults, XXXX threw a chair and cracked the cover of a fan in the room. When"
3612,,,,,,XXXX was having a difficulty following class expectations. He walked out of the classroom without permission and
3613,,,Small child,,,became disruptive in the hallway. When staff attempted to redirect XXXX he ran over to another peer and in an
3614,,,restraint 1,,,unprovoked manner hit the peer with his hand and then threw a box of crayons at the peer hitting him in the neck
3615,2019-2020 Y,10/24/2019,person hold,8 Minutes,Hallway,with the box of crayons. Immediately afterwards XXXX kicked a staff member in the knee. Staff intervened by
3616,,,Small child,,,XXXX became disrespectful towards several peers as they came into the support area for different reasons. When
3617,,,restraint 1,,,"staff verbally redirected XXXX, he threw a marble hitting staff in the head. Staff intervened using a TCI single person"
3618,2019-2020 Y,10/24/2019,person hold,7 Minutes,Calm Room,small child hold which lasted seven minutes before he was compliant with the letting go process and LSI
3619,,,,,StudentDiscipline_L,
3620,SchoolYear BIP Y/NIncidentDate,,Disposition,DispositionDuration,StudentDiscipline_DispositionDurationUnit,StudentDiscipline_Description
3621,,,,,,XXXX came into the support area as a means of regaining control of his unsafe behaviors. While in the support area
3622,,,,,,XXXX began to throw items around in an aggressive manner. In the process of throwing items around he broke the
3623,,,Small child,,,"shelf in the support area. XXXX continued to struggle in the support area, yelling profanity at the adults and peers"
3624,,,restraint 1,,,"who walked into the support area. He became verbally aggressive toward the adults, stating he was going to kill"
3625,2019-2020 Y,10/30/2019,person hold,7 Minutes,Calm Room,them. XXXX began to throw items at adults including his shoes. At this time staff utilized a TCI single person small
3626,,,,,,XXXX was having a difficult time following expectations at the end of the day. He ran out of the classroom and the
3627,,,Small child,,,school without permission. Staff was able to redirect him into the support area. Once in the support area XXXX
3628,,,restraint 1,,,became physically aggressive toward the adults as well as a peer who was in the area. Staff utilized a single person
3629,2019-2020 Y,10/31/2019,person hold,6 Minutes,Calm Room,small child hold which lasted 6 minutes before XXXX was compliant with the letting go process and LSI. He was able
3630,,,Small child,,,XXXX was having difficulty following expectations within the support area. He began to disrupt other students who
3631,,,restraint 1,,,were doing their work. When XXXX was verbally redirected he began throwing items at adults and students. At this
3632,2019-2020 Y,11/4/2019,person hold,5 Minutes,Calm Room,time staff utilized a TCI single person small child hold which lasted 5 minutes before XXXX was compliant with the
3633,,,Small child,,,
3634,,,restraint 1,,,XXXX became angry because he could not go on the field trip due to unsafe behaviors; consequently he began
3635,2019-2020 Y,12/11/2019,person hold,2 Minutes,Other,"throwing chairs, and hitting staff."
3636,,,,,,"XXXX had previously been agitated when a peer was displaying disruptive behaviors, and XXXX was copying those"
3637,,,,,,"before increasing intensity. Other students were removed from room, XXXX calmed and rejoined activities as other"
3638,,,,,,"students were brought back. When it was time to switch centers, XXXX re-escalated, climbing under tables and"
3639,,,,,,"yelling. Other students went to work in another area, XXXX began to throw chairs, stand on and run on top of"
3640,,,2 person,,,"tables. He went under the tables, and attempted to lift them up and kick out the legs (he had previously made a"
3641,2019-2020 Y,9/16/2019,seated hold,10 Minutes,Classroom,statement about wanting to hurt himself.) For safety a 2 person small child hold was used for 10 minutes until he
3642,,,,,,XXXX was having difficulty following expectations within the cafeteria. He refused and helpful support from adults
3643,,,Small child,,,and became physically aggressive toward adults when his behaviors were verbally redirected. Additional adult
3644,,,restraint 1,,,"support was utilized to help verbally redirect XXXX to the support area. Once XXXX entered the support area, he"
3645,2019-2020 Y,9/17/2019,person hold,20 Minutes,Cafeteria,stated that he wanted to kill himself and attempted to tie his hooded sweatshirt around his neck. Staff intervened
3646,,,,,,"XXXX became disregulated when entering technology room, and was grabbing at things and standing on a chair. He"
3647,,,,,,"was given time and space, and the offer to go somewhere else for an alternate activity. He refused, and began"
3648,,,,,,"crawling under and on tables, attempting to tip them. He tossed a heavy chair toward a group of children, and a"
3649,,,2 person,,,"seated hold was used for safety. It moved to a 2 person, with one adult on the legs as he was trying to stand and"
3650,2019-2020 Y,9/23/2019,seated hold,5 Minutes,Other,"push first adult over. During the hold, which lasted 5 minutes, XXXX stated he was going to choke himself, and tried"
3651,,,Small child,,,XXXX was having a difficult time following expectations from his classroom staff. He ran into the support area and
3652,,,restraint 1,,,began throwing items around and attempting to break the staff desk. When XXXX was verbally redirected he
3653,2019-2020 Y,9/24/2019,person hold,28 Minutes,Calm Room,became verbally disrespectful and physically aggressive towards the staff. At this time staff utilized a TCI small child
3654,,,,,StudentDiscipline_L,
3655,SchoolYear BIP Y/NIncidentDate,,Disposition,DispositionDuration,StudentDiscipline_DispositionDurationUnit,StudentDiscipline_Description
3656,,,,,,Student was engaging with lesson until it was no longer his turn. He began climbing and spinning on top of tables.
3657,,,Small child,,,Student began throwing items off the tables in the direction of other students and staff. Student ran across the top
3658,,,restraint 1,,,of tables and grabbed a hold of legs of another table. student was being unsafe moving the table and shoving
3659,2019-2020 Y,10/3/2019,person hold,9 Minutes,Classroom,papers into mouth. Small child hold was utilized. Student became more aggressive and a two person hold was
3660,,,Small child,,,Student was kicking at bookshelf that was rocking back and forth. Staff went over to ask student to be safe because
3661,,,restraint 1,,,the books shelf was moving and they didn't want to fall back on them. Student kicked at and spit at staff. Staff tried
3662,2019-2020 Y,10/3/2019,person hold,13 Minutes,Classroom,to give student some space but student continued to be physically aggressive. Student bit staff. Small child hold
3663,,,Small child,,,XXXX was having difficulty following expectations from adults. He began negative attention seeking behaviors by
3664,,,restraint 1,,,"disrupting peers and attempting to hit his head on the wall. When adults attempted to redirect XXXX, he became"
3665,2019-2020 Y,11/4/2019,person hold,5 Minutes,Calm Room,physically aggressive. At this time staff utilized a TCI single person small child hold which lasted  five minutes
3666,,,Small child,,,
3667,,,restraint 1,,,XXXX was physically aggressive toward adults within the classroom. Adults intervened by utilizing a TCI single
3668,2019-2020 Y,11/12/2019,person hold,9 Minutes,Classroom,"person small child hold, which lasted nine minutes before he was compliant with the letting go process and LSI."
3669,,,Small child,,,XXXX was struggling with maintaining safe choices. He became physically aggressive towards adults after refusing
3670,,,restraint 1,,,to complete academic work and follow directives. XXXX was placed into a TCI single person small child hold which
3671,2019-2020 Y,11/12/2019,person hold,2 Minutes,Classroom,lasted two minutes before he was compliant with the letting go process and LSI.
3672,,,Small child,,,"XXXX was having difficulty following expectations in PE. When adults attempted to redirect him, XXXX became"
3673,,,restraint 2,,,physically aggressive toward the adults. At this time adults intervened by placing XXXX in a TCI two person small
3674,2019-2020 Y,11/13/2019,person hold,8 Minutes,Gymnasium,child hold which lasted for eight minutes before he was compliant with the letting go process and LSI.
3675,,,Small child,,,XXXX was struggling following staff directives. He became physically aggressive toward the adults. Staff intervened
3676,,,restraint 1,,,by utilizing a TCI single person small child hold which lasted five minutes before he was compliant with the letting
3677,2019-2020 Y,11/15/2019,person hold,5 Minutes,Classroom,go process and LSI
3678,,,Small child,,,"XXXX was making unsafe choices while in the support area. He made verbally aggressive comments to adults,"
3679,,,restraint 1,,,"became self injurious by hitting his head on the wall, and trying to break a school desk. Staff intervened by using a"
3680,2019-2020 Y,12/2/2019,person hold,10 Minutes,Calm Room,TCI single person small child hold which lasted 10 minutes before he was compliant with the letting go process and
3681,,,Small child,,,XXXX was having difficulty maintaining safe choices while in the support area. He began to make statements of
3682,,,restraint 1,,,wanting to hurt himself and began to hit his head on the wall. Staff intervened utilizing the TCI single person small
3683,2019-2020 Y,12/13/2019,person hold,7 Minutes,Calm Room,child hold which lasted seven minutes before he was compliant with the letting go process and LSI
3684,,,Small child,,,XXXX was utilizing the support area as a means of settling from feeling frustrated in his classroom. XXXX began to
3685,,,restraint 1,,,self harm and make statements of wanting to hurt himself. He refused staff support or redirection and continued
3686,2019-2020 Y,2/27/2020,person hold,28 Minutes,Calm Room,the self harming behavior. At this time staff utilized a TCI single person small child hold which lasted 28 minutes
3687,,StudentDiscipline_L,,,,
3688,"Disposition
SchoolYear BIP Y/NIncidentDate","StudentDiscipline_Description
DispositionDuration
StudentDiscipline_DispositionDurationUnit",,,,
3689,,XXXX was taking time to regroup within the support area due to feeling frustrated with his classroom. XXXX was,,,,
3690,Small child,"prompted to transition into academic work, but he refused and began writing on the wall with a pencil. Adults",,,,
3691,restraint 1,"asked XXXX to stop writing on the walls, but he would respond by using profanity toward the adults. after a couple",,,,
3692,"person hold
2019-2020 Y
3/10/2020","Calm Room
minutes XXXX became physically aggressive towards the adults. At this time staff utilized a TCI single person small 
10 Minutes",,,,
3693,,XXXX was angry about an incident with a peer in his classroom and was taking a break in the calm room when he,,,,
3694,,began slamming the door repeatedly to the point where the door was about to come off of the door frame causing,,,,
3695,,"injury to him, so XXXX intervened and attempted to hold the door open, explaining that we were just concerned",,,,
3696,,"about his safety.  XXXX immediately began slamming the door against XXXX, pushing against him and punching him",,,,
3697,,in the torso. Crisis support staff and classroom teacher attempted to help XXXX deescalate and choose a safer,,,,
3698,,"replacement coping strategy, but he continued to escalate and began punching crisis support staff and",,,,
3699,,administrator repeatedly and threatening to harm classroom teacher and all adults nearby. We contacted parent in,,,,
3700,,"attempt to help deescalate, but this was unsuccessful and XXXX continued to escalate with increasing aggression",,,,
3701,,"toward staff, so it was decided that a hold would have to be administered in order to help him de-escalate. A three",,,,
3702,,"person supine hold was done for 4 minutes at 11:05. He was released at 11:09, but immediately got up and began",,,,
3703,,"threatening and swinging at staff again, so another three person supine hold was done for 6 minutes at 11:10. He",,,,
3704,,"was released again at 11:16 and continued to threaten staff, but was only mildly physically aggressive (pushing",,,,
3705,"2019-2020 Y
7/19/2019 Supine Hold","Calm Room
against staff but not swinging). However, after approximately 10 minutes he became physically aggressive again 
4 Minutes",,,,
3706,,XXXX was angry about an incident with a peer in his classroom and was taking a break in the calm room when he,,,,
3707,,began slamming the door repeatedly to the point where the door was about to come off of the door frame causing,,,,
3708,,"injury to him, so XXXX intervened and attempted to hold the door open, explaining that we were just concerned",,,,
3709,,"about his safety.  XXXX immediately began slamming the door against XXXX, pushing against him and punching him",,,,
3710,,in the torso. Crisis support staff and classroom teacher attempted to help XXXX deescalate and choose a safer,,,,
3711,,"replacement coping strategy, but he continued to escalate and began punching crisis support staff and",,,,
3712,,administrator repeatedly and threatening to harm classroom teacher and all adults nearby. We contacted parent in,,,,
3713,,"attempt to help deescalate, but this was unsuccessful and XXXX continued to escalate with increasing aggression",,,,
